identifier,rel:isParentOf,Name,objectType,Code,Description,Language,Learning Objective,Keywords,Examples,Status,Internal Validation,External Validation,Validators,References,Expected Learning Time,Applicability,Foundation,Assessment Method,No of Games,Avg. Gaming Time Spent,tags
Lit,"Lit:C1, Lit:C2, Lit:C3, Lit:C4",Literacy,Taxonomy,Lit,Literacy,,,,,,,,,,,,,,,,
Lit:C1,"Lit:C1:SC1, Lit:C1:SC2, Lit:C1:SC3, Lit:C1:SC4, Lit:C1:SC5",Listening,Concept,Lit:C1,Listening,,,,,,,,,,,,,,,,Concept
Lit:C2,"Lit:C2:SC1, Lit:C2:SC2, Lit:C2:SC3, Lit:C2:SC4, Lit:C2:SC5",Speaking,Concept,Lit:C2,Speaking,,,,,,,,,,,,,,,,Concept
Lit:C3,"Lit:C3:SC1, Lit:C3:SC2, Lit:C3:SC3, Lit:C3:SC4",Reading,Concept,Lit:C3,Reading,,,,,,,,,,,,,,,,Concept
Lit:C4,"Lit:C4:SC1, Lit:C4:SC2, Lit:C4:SC3, Lit:C4:SC4",Writing,Concept,Lit:C4,Writing,,,,,,,,,,,,,,,,Concept
Lit:C1:SC1,"Lit:C1:SC1:MC1, Lit:C1:SC1:MC2, Lit:C1:SC1:MC3, Lit:C1:SC1:MC4, Lit:C1:SC1:MC5, Lit:C1:SC1:MC6, Lit:C1:SC1:MC7, Lit:C1:SC1:MC8, Lit:C1:SC1:MC9, Lit:C1:SC1:MC10, Lit:C1:SC1:MC11, Lit:C1:SC1:MC12, Lit:C1:SC1:MC13, Lit:C1:SC1:MC14, Lit:C1:SC1:MC15, Lit:C1:SC1:MC16, Lit:C1:SC1:MC17, Lit:C1:SC1:MC18",Phonological awareness,Concept,Lit:C1:SC1,Phonological awareness,,,,,,,,,,,,,,,,Subconcept
Lit:C1:SC2,"Lit:C1:SC2:MC1, Lit:C1:SC2:MC2, Lit:C1:SC2:MC3",Letter to sound mapping,Concept,Lit:C1:SC2,Letter to sound mapping,,,,,,,,,,,,,,,,Subconcept
Lit:C1:SC3,"Lit:C1:SC3:MC1, Lit:C1:SC3:MC2, Lit:C1:SC3:MC3",Vocabulary,Concept,Lit:C1:SC3,Vocabulary,,,,,,,,,,,,,,,,Subconcept
Lit:C1:SC4,"Lit:C1:SC4:MC1, Lit:C1:SC4:MC2, Lit:C1:SC4:MC3, Lit:C1:SC4:MC4, Lit:C1:SC4:MC5, Lit:C1:SC4:MC6",Syntax,Concept,Lit:C1:SC4,Syntax,,,,,,,,,,,,,,,,Subconcept
Lit:C1:SC5,"Lit:C1:SC5:MC1, Lit:C1:SC5:MC2, Lit:C1:SC5:MC3, Lit:C1:SC5:MC4, Lit:C1:SC5:MC5, Lit:C1:SC5:MC6",Listening comprehension,Concept,Lit:C1:SC5,Listening comprehension,,,,,,,,,,,,,,,,Subconcept
Lit:C2:SC1,"Lit:C2:SC1:MC1, Lit:C2:SC1:MC2, Lit:C2:SC1:MC3, Lit:C2:SC1:MC4, Lit:C2:SC1:MC5, Lit:C2:SC1:MC6, Lit:C2:SC1:MC7, Lit:C2:SC1:MC8, Lit:C2:SC1:MC9, Lit:C2:SC1:MC10, Lit:C2:SC1:MC11, Lit:C2:SC1:MC12, Lit:C2:SC1:MC13, Lit:C2:SC1:MC14, Lit:C2:SC1:MC15, Lit:C2:SC1:MC16",Phonological awareness,Concept,Lit:C2:SC1,Phonological awareness,,,,,,,,,,,,,,,,Subconcept
Lit:C2:SC2,"Lit:C2:SC2:MC1, Lit:C2:SC2:MC2, Lit:C2:SC2:MC3",Letter to sound mapping,Concept,Lit:C2:SC2,Letter to sound mapping,,,,,,,,,,,,,,,,Subconcept
Lit:C2:SC3,"Lit:C2:SC3:MC1, Lit:C2:SC3:MC2, Lit:C2:SC3:MC3, Lit:C2:SC3:MC4, Lit:C2:SC3:MC5",vocabulary,Concept,Lit:C2:SC3,vocabulary,,,,,,,,,,,,,,,,Subconcept
Lit:C2:SC4,"Lit:C2:SC4:MC1, Lit:C2:SC4:MC2, Lit:C2:SC4:MC3, Lit:C2:SC4:MC4, Lit:C2:SC4:MC5",Syntax,Concept,Lit:C2:SC4,Syntax,,,,,,,,,,,,,,,,Subconcept
Lit:C2:SC5,"Lit:C2:SC5:MC1, Lit:C2:SC5:MC2, Lit:C2:SC5:MC3, Lit:C2:SC5:MC4",Expressive speaking,Concept,Lit:C2:SC5,Expressive speaking,,,,,,,,,,,,,,,,Subconcept
Lit:C3:SC1,"Lit:C3:SC1:MC1, Lit:C3:SC1:MC2, Lit:C3:SC1:MC3, Lit:C3:SC1:MC4, Lit:C3:SC1:MC5",Letter to sound mapping,Concept,Lit:C3:SC1,Letter to sound mapping,,,,,,,,,,,,,,,,Subconcept
Lit:C3:SC2,"Lit:C3:SC2:MC1, Lit:C3:SC2:MC2, Lit:C3:SC2:MC3, Lit:C3:SC2:MC4, Lit:C3:SC2:MC5, Lit:C3:SC2:MC6",Vocabulary,Concept,Lit:C3:SC2,Vocabulary,,,,,,,,,,,,,,,,Subconcept
Lit:C3:SC3,"Lit:C3:SC3:MC1, Lit:C3:SC3:MC2, Lit:C3:SC3:MC3, Lit:C3:SC3:MC4, Lit:C3:SC3:MC5",Syntax,Concept,Lit:C3:SC3,Syntax,,,,,,,,,,,,,,,,Subconcept
Lit:C3:SC4,"Lit:C3:SC4:MC1, Lit:C3:SC4:MC2, Lit:C3:SC4:MC3, Lit:C3:SC4:MC4",Reading comprehension,Concept,Lit:C3:SC4,Reading comprehension,,,,,,,,,,,,,,,,Subconcept
Lit:C4:SC1,"Lit:C4:SC1:MC1, Lit:C4:SC1:MC2, Lit:C4:SC1:MC3, Lit:C4:SC1:MC4, Lit:C4:SC1:MC5, Lit:C4:SC1:MC6",Orthography,Concept,Lit:C4:SC1,Orthography,,,,,,,,,,,,,,,,Subconcept
Lit:C4:SC2,"Lit:C4:SC2:MC1, Lit:C4:SC2:MC2, Lit:C4:SC2:MC3, Lit:C4:SC2:MC4",Vocabulary,Concept,Lit:C4:SC2,Vocabulary,,,,,,,,,,,,,,,,Subconcept
Lit:C4:SC3,"Lit:C4:SC3:MC1, Lit:C4:SC3:MC2, Lit:C4:SC3:MC3",Syntax,Concept,Lit:C4:SC3,Syntax,,,,,,,,,,,,,,,,Subconcept
Lit:C4:SC4,"Lit:C4:SC4:MC1, Lit:C4:SC4:MC2, Lit:C4:SC4:MC3",expressive writing,Concept,Lit:C4:SC4,expressive writing,,,,,,,,,,,,,,,,Subconcept
Lit:C1:SC1:MC1,,"Phonemic awareness - Recognize and manipulate phonemes (Individual sounds). In ""chari"" (____ - __ / __), phonemes are ""ch"" (_), ""a""(_), ""r""(_), ""i""(_)",Concept,Lit:C1:SC1:MC1,"Phonemic awareness - Recognize and manipulate phonemes (Individual sounds). In ""chari"" (____ - __ / __), phonemes are ""ch"" (_), ""a""(_), ""r""(_), ""i""(_)",,Phonemic isolation _ ability to recognize individual sounds in words/non words,,"First sound in ""ginger"" - ""gee"", _____ (aranya) - _",,,,," French et al, Nag (DFID)",,High,High,,,,Intermediate::K + 3::Micro-concept
